id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Static,Saffron Tide,reggae,playful,0.64,96,0.83,0.77,0.44
12,Velvet Avenue,Mirror District,r&b,romantic,0.58,88,0.72,0.74,0.39
13,Marble Halls,North Archive,classical,peaceful,0.18,58,0.50,0.21,0.97
14,Neon Circuit,Byte Runner,electronic,driven,0.87,128,0.61,0.84,0.08
15,Dust and Daylight,Cinder Pines,country,nostalgic,0.46,84,0.68,0.57,0.81
16,Midtown Parade,Brass Theory,funk,groovy,0.79,116,0.86,0.89,0.23
17,Afterglow Letters,Harbor Ghosts,dream pop,dreamy,0.41,76,0.63,0.49,0.67
18,Paper Lantern Ride,Solstice Bloom,folk,reflective,0.33,70,0.58,0.43,0.91
19,Signal Lanterns,Atlas Bloom,trip hop,curious,0.52,92,0.46,0.68,0.48
20,Silver Horizon,Polar Avenue,post-rock,epic,0.69,104,0.57,0.38,0.55
21,Orbit Classroom,Luma Vista,chiptune,quirky,0.73,126,0.74,0.81,0.12
22,Window Seat,Maple Thread,soul,warm,0.49,86,0.79,0.64,0.58
23,Cathedral Echoes,Aster Vale,choral,serene,0.22,54,0.52,0.18,0.98
24,Glass Alleys,Metro Shade,house,confident,0.84,124,0.71,0.87,0.09
